kappa,gamma,min_choi_eig,coh_proxy
0.0,0.01,-0.9999976831156699,-0.0014363071398503556
0.0,0.03,-0.999995012658777,-0.004764830714142371
0.0,0.07,-0.9999896793284337,-0.011544500638876984
0.1,0.01,-1.000002825389021,-0.012848985299285826
0.1,0.03,-1.000010272025304,-0.014451316932370117
0.1,0.07,-1.0000245173196023,-0.03666335152625221
0.3,0.01,-1.000009134747057,-0.004353933149279836
0.3,0.03,-1.0000288936009611,-0.01814939749370692
0.3,0.07,-1.0000665717725625,-0.0531680647101804
