system,kappa,gamma,min_choi_eig,coh_proxy,entropy_final
two-site,0.0,0.02,-0.980197015956841,-1.3354140930778643e-05,0.09713683603885023
two-site,0.0,0.05,-0.9512275720519356,-2.910751570604719e-05,0.19463071466706178
two-site,0.0,0.1,-0.9048346974779775,-0.0020317469972363405,0.31393789203697026
two-site,0.2,0.02,-0.9801910441888714,3.611862042797596e-06,0.09713685651370084
two-site,0.2,0.05,-0.951221976975247,-2.986418988893947e-05,0.1946307231435061
two-site,0.2,0.1,-0.9048296893283634,-2.5397857205390106e-05,0.31393785046663547
two-site,0.5,0.02,-0.9801601336431807,0.0014856919168263906,0.0971364346836072
two-site,0.5,0.05,-0.9511927528404815,0.00010246821043179369,0.19463199424123545
two-site,0.5,0.1,-0.9048030761228075,6.986817110244321e-06,0.31394076665609066
