t,pop1,pop2,mode_x,mode_kurtosis
0.0,1.0,0.0,0.0,4.440892098500626e-16
0.05,0.9999840001796235,1.5999820376408716e-05,-0.000179880689599047,3.9968028886505635e-15
0.1,0.9999359882708838,6.401172911617107e-05,-0.0007187982120694691,-2.9753977059954195e-14
0.15000000000000002,0.9998559893283977,0.00014401067160216404,-0.0016142769460820475,-3.135269821541442e-13
0.2,0.9997440316389268,0.000255968361073099,-0.002862676066069336,-1.2221335055073723e-12
0.25,0.9996001596308615,0.0003998403691386585,-0.0044590672570096876,-3.4985347951987933e-12
0.30000000000000004,0.9994244310101191,0.0005755689898807564,-0.006397250376338915,-8.855582933620099e-12
0.35000000000000003,0.9992169170284276,0.0007830829715724804,-0.008669778734368836,-2.0961454794132806e-11
0.4,0.9989777018336342,0.0010222981663656494,-0.011267987514064564,-4.651035112601676e-11
0.45,0.9987068817936321,0.0012931182063679175,-0.014182026089214452,-9.559064650943583e-11
0.5,0.9984045656336287,0.001595434366371336,-0.01740089491369137,-1.7974777222207194e-10
0.55,0.9980708742579021,0.0019291257420980118,-0.02091248636410229,-3.055582453725947e-10
0.6000000000000001,0.9977059405452129,0.002294059454787128,-0.024703629541731054,-4.6053516555844e-10
0.65,0.9973099091468931,0.0026900908531069627,-0.028760138852233465,-5.873301844872003e-10
0.7000000000000001,0.9968829363397895,0.0031170636602104998,-0.03306686619304992,-5.415410342379801e-10
0.75,0.99642518974724,0.0035748102527600706,-0.037607756560501346,-2.7920332712483287e-11
0.8,0.995936848140522,0.0040631518594783,-0.04236590685264431,1.4905729983638594e-09
0.8500000000000001,0.9954181011690567,0.00458189883094333,-0.04732362768639135,4.9159480930427435e-09
0.9,0.9948691490427995,0.005130850957200428,-0.052462507964656534,1.1675274969036309e-08
0.9500000000000001,0.9942902024987178,0.005709797501282162,-0.05776348198963167,2.3920857294967846e-08
1.0,0.9936814823356933,0.006318517664306701,-0.06320689886448107,4.4772153096062084e-08
1.05,0.993043219215513,0.00695678078448685,-0.06877259392392247,7.859855699621221e-08
1.1,0.992375653344284,0.007624346655715897,-0.0744399619542287,1.3133956677791048e-07
1.1500000000000001,0.9916790340492274,0.0083209659507727,-0.08018803192087502,2.10855696902712e-07
1.2000000000000002,0.9909536197755263,0.00904638022447367,-0.0859955429457719,3.2730006926939836e-07
1.25,0.9901996777408114,0.009800322259188709,-0.09184102125373388,4.934973665271514e-07
1.3,0.9894174839182934,0.01058251608170654,-0.09770285781721753,7.253134715057286e-07
1.35,0.9886073223153876,0.011392677684612499,-0.10355938640039966,1.041996301243131e-06
1.4000000000000001,0.9877694845398926,0.012230515460107564,-0.10938896176460347,1.4664660743513025e-06
1.4500000000000002,0.986904270052205,0.013095729947795195,-0.11517003770366473,2.0255316806050416e-06
1.5,0.9860119857863527,0.013988014213647234,-0.12088124465908602,2.7500093775501e-06
1.55,0.9850929463280079,0.01490705367199196,-0.12650146663629325,3.6747205589549026e-06
1.6,0.9841474729125034,0.01585252708749677,-0.13200991709865503,4.8383472841528885e-06
1.6500000000000001,0.9831758929282266,0.016824107071773526,-0.13738621367625597,6.283127182538095e-06
1.7000000000000002,0.9821785405502197,0.01782145944978047,-0.1426104512898072,8.054373888732869e-06
1.75,0.9811557563145431,0.018844243685456858,-0.14766327351178488,1.019981463956654e-05
1.8,0.980107887558649,0.019892112441351122,-0.1525259418982936,1.2768743140156857e-05
1.85,0.9790352870545486,0.02096471294545142,-0.15718040297057115,1.581099336345204e-05
1.9000000000000001,0.9779383124381812,0.02206168756181874,-0.1616093527814691,1.937574758059668e-05
1.9500000000000002,0.9768173273442053,0.023182672655794812,-0.16579629862489406,2.351020034918605e-05
2.0,0.9756727009144143,0.0243272990855857,-0.16972561780622283,2.8258107870104965e-05
2.0500000000000003,0.9745048085590846,0.025495191440915353,-0.17338261324077575,3.365825968826286e-05
2.1,0.9733140301270173,0.026685969872982652,-0.1767535655919856,3.9742916325469224e-05
2.15,0.9721007504370138,0.027899249562986256,-0.17982578200363006,4.6536261356422415e-05
2.2,0.9708653605407491,0.029134639459251023,-0.1825876409031397,5.405292077709234e-05
2.25,0.9696082539179997,0.030391746082000452,-0.1850286330128728,6.229660368273215e-05
2.3000000000000003,0.9683298549425406,0.03167014505745934,-0.1871398176363193,7.125857943401925e-05
2.35,0.9670305402629032,0.03296945973709668,-0.18891261602485163,8.091766457374305e-05
2.4000000000000004,0.9657106929396493,0.034289307060350875,-0.19033961875651584,9.123908436414752e-05
2.45,0.9643707512308342,0.035629248769165664,-0.19141551364501244,0.00010217320707495148
2.5,0.9630111319663841,0.036988868033616035,-0.19213582237119825,0.00011365661695128537
2.5500000000000003,0.9616322584139924,0.038367741586007705,-0.19249733607762307,0.00012561212492645524
2.6,0.9602345546358384,0.039765445364161586,-0.1924981259441877,0.00013794949891599018
2.6500000000000004,0.9588184495316893,0.04118155046831068,-0.19213754921108867,0.0001505665718175564
2.7,0.9573843764644544,0.0426156235355454,-0.1914162503688859,0.00016335071312267857
2.75,0.9559327730526839,0.0440672269473161,-0.19033615796229475,0.00017618063520652427
2.8000000000000003,0.9544640837152355,0.04553591628476441,-0.18890047656994832,0.00018892849605078865
2.85,0.9529787524922494,0.04702124750775068,-0.1871136743198883,0.0002014622463826221
2.9000000000000004,0.9514772281747381,0.048522771825262066,-0.18498146592141446,0.0002136481610430785
2.95,0.9499599638654712,0.05004003613452883,-0.18251079105855458,0.00022535348765284624
3.0,0.94842741668107,0.05157258331892998,-0.17970978860778092,0.00023644913751219576
